"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
          75, -0.0873372456, 0.0114350031, 0.0000000000, 0.0000000000, 0.0000000000, 0.0683655289, 0.0053148097, -0.0879221619, 0.0000000000, -7.6377106963, -4.4959916669, -1.6508572828, -1.6987490249, 0.9637752354, 0.0000000000, 5.0000000000, 0.4743264707
          76, -0.0828251849, 0.0092341215, 0.0000000000, 0.0000000000, 0.0000000000, 0.0688222651, 0.0034340348, -0.0832675667, 0.0000000000, -8.9694709523, -4.5040931598, -1.6617150263, -1.7011821784, 0.9599460905, 0.0000000000, 5.0000000000, 0.4793084714
          77, -0.0769398022, 0.0080631631, 0.0000000000, 0.0000000000, 0.0000000000, 0.0701422160, 0.0026764723, -0.0773148386, 0.0000000000, -9.5421364353, -4.4930132357, -1.6649746176, -1.6981311031, 0.9743134775, 0.0000000000, 5.0000000000, 0.4845685474
          78, -0.0727374347, 0.0082093209, 0.0000000000, 0.0000000000, 0.0000000000, 0.0715658064, 0.0031154164, -0.0731329033, 0.0000000000, -8.8603473990, -4.4994002014, -1.6569333415, -1.6884190506, 0.9654085384, 0.0000000000, 5.0000000000, 0.4896762262
          79, -0.0720492512, 0.0093810778, 0.0000000000, 0.0000000000, 0.0000000000, 0.0724651890, 0.0043323243, -0.0725281337, 0.0000000000, -7.6802743258, -4.5269557429, -1.6484999679, -1.6846125779, 0.9333189194, 0.0000000000, 5.0000000000, 0.4944276603
          80, -0.0747840641, 0.0108886974, 0.0000000000, 0.0000000000, 0.0000000000, 0.0725923331, 0.0056455005, -0.0753614511, 0.0000000000, -6.8680450394, -4.5500320596, -1.6474146505, -1.6933630428, 0.9098410130, 0.0000000000, 5.0000000000, 0.4992240161
          81, -0.0792090477, 0.0119684980, 0.0000000000, 0.0000000000, 0.0000000000, 0.0720970761, 0.0064139995, -0.0798509787, 0.0000000000, -6.6181276411, -4.5544904827, -1.6506831626, -1.7068611741, 0.9084761250, 0.0000000000, 5.0000000000, 0.5043885471
          82, -0.0829826628, 0.0121165203, 0.0000000000, 0.0000000000, 0.0000000000, 0.0713692580, 0.0062984271, -0.0836257270, 0.0000000000, -6.8487206629, -4.5587784751, -1.6527087117, -1.7131677041, 0.9046729459, 0.0000000000, 5.0000000000, 0.5102840121
          83, -0.0843654755, 0.0112903270, 0.0000000000, 0.0000000000, 0.0000000000, 0.0708185144, 0.0053777862, -0.0849475388, 0.0000000000, -7.4723677902, -4.5762822166, -1.6534745944, -1.7113807666, 0.8846706225, 0.0000000000, 5.0000000000, 0.5153995449
          84, -0.0829968085, 0.0098919506, 0.0000000000, 0.0000000000, 0.0000000000, 0.0706961359, 0.0040782896, -0.0834846600, 0.0000000000, -8.3903379600, -4.5940594116, -1.6555581578, -1.7089753416, 0.8658126521, 0.0000000000, 5.0000000000, 0.5204523597
          85, -0.0799028800, 0.0085468463, 0.0000000000, 0.0000000000, 0.0000000000, 0.0710177144, 0.0029522834, -0.0803044384, 0.0000000000, -9.3488144711, -4.5948309369, -1.6576174022, -1.7088340691, 0.8673690712, 0.0000000000, 5.0000000000, 0.5260598713
          86, -0.0768242806, 0.0077936614, 0.0000000000, 0.0000000000, 0.0000000000, 0.0715951797, 0.0024156855, -0.0771807988, 0.0000000000, -9.8572772043, -4.5866939406, -1.6558459253, -1.7081042685, 0.8771564676, 0.0000000000, 5.0000000000, 0.5306888560
          87, -0.0752808980, 0.0078410177, 0.0000000000, 0.0000000000, 0.0000000000, 0.0721481372, 0.0025705874, -0.0756444793, 0.0000000000, -9.6009090961, -4.5873944490, -1.6502989629, -1.7058785632, 0.8751198058, 0.0000000000, 5.0000000000, 0.5355415723
          88, -0.0758678062, 0.0085051154, 0.0000000000, 0.0000000000, 0.0000000000, 0.0724409642, 0.0031921268, -0.0762762829, 0.0000000000, -8.9202558868, -4.5987250919, -1.6453250496, -1.7054201077, 0.8614440662, 0.0000000000, 5.0000000000, 0.5404164039
          89, -0.0780916442, 0.0093415424, 0.0000000000, 0.0000000000, 0.0000000000, 0.0723864186, 0.0038713891, -0.0785530500, 0.0000000000, -8.3596092717, -4.6095517789, -1.6440362940, -1.7087008946, 0.8500943941, 0.0000000000, 5.0000000000, 0.5455988238
          90, -0.0807473790, 0.0098853528, 0.0000000000, 0.0000000000, 0.0000000000, 0.0720723866, 0.0042286202, -0.0812402498, 0.0000000000, -8.1683861482, -4.6139114635, -1.6455641582, -1.7131717554, 0.8468557253, 0.0000000000, 5.0000000000, 0.5511622119
          91, -0.0825762197, 0.0098694136, 0.0000000000, 0.0000000000, 0.0000000000, 0.0717037187, 0.0040851463, -0.0830635236, 0.0000000000, -8.3668820326, -4.6174701962, -1.6473651548, -1.7151709843, 0.8437164274, 0.0000000000, 5.0000000000, 0.5566527547
          92, -0.0828548240, 0.0093194817, 0.0000000000, 0.0000000000, 0.0000000000, 0.0714918768, 0.0035171196, -0.0833030880, 0.0000000000, -8.8904969799, -4.6243869884, -1.6482181588, -1.7144926053, 0.8360969228, 0.0000000000, 5.0000000000, 0.5615125553
